airport_group,timestamp,target_sched,flights_cnt,avg_duration,max_duration,passenger_share,cargo_share,charter_share,airline,dow,holiday,month,hournum,weekend,date,daily_flights_cnt,flights_cnt_prev,flights_cnt_next
B,2025-10-01 11:00:00,0,2,70.0,70.0,1.0,0.0,0.0,,2,False,10,11,0,2025-10-01,47,3,3
C,2025-10-01 11:00:00,0,0,0.0,0.0,0.0,0.0,0.0,,2,False,10,11,0,2025-10-01,21,0,0
A,2025-10-01 11:00:00,0,2,65.0,65.0,1.0,0.0,0.0,,2,False,10,11,0,2025-10-01,48,3,1
G,2025-10-01 11:00:00,0,0,0.0,0.0,0.0,0.0,0.0,,2,False,10,11,0,2025-10-01,34,2,4
F,2025-10-01 11:00:00,1,5,21.0,25.0,1.0,0.0,0.0,,2,False,10,11,0,2025-10-01,26,3,1
D,2025-10-01 12:00:00,0,2,47.5,65.0,1.0,0.0,0.0,,2,False,10,12,0,2025-10-01,48,0,5
F,2025-10-01 12:00:00,0,1,25.0,25.0,1.0,0.0,0.0,,2,False,10,12,0,2025-10-01,26,5,0
E,2025-10-01 12:00:00,1,2,45.0,60.0,1.0,0.0,0.0,,2,False,10,12,0,2025-10-01,53,2,4
B,2025-10-01 12:00:00,1,3,58.333333333333336,70.0,1.0,0.0,0.0,,2,False,10,12,0,2025-10-01,47,2,3
G,2025-10-01 12:00:00,1,4,23.75,35.0,1.0,0.0,0.0,,2,False,10,12,0,2025-10-01,34,0,0
A,2025-10-01 12:00:00,0,1,55.0,55.0,1.0,0.0,0.0,,2,False,10,12,0,2025-10-01,48,2,2
C,2025-10-01 12:00:00,0,0,0.0,0.0,0.0,0.0,0.0,,2,False,10,12,0,2025-10-01,21,0,2
B,2025-10-01 13:00:00,1,3,60.0,70.0,1.0,0.0,0.0,,2,False,10,13,0,2025-10-01,47,3,3
D,2025-10-01 13:00:00,1,5,45.0,65.0,1.0,0.0,0.0,,2,False,10,13,0,2025-10-01,48,2,0
E,2025-10-01 13:00:00,1,4,35.0,60.0,1.0,0.0,0.0,,2,False,10,13,0,2025-10-01,53,2,4
G,2025-10-01 13:00:00,0,0,0.0,0.0,0.0,0.0,0.0,,2,False,10,13,0,2025-10-01,34,4,0
A,2025-10-01 13:00:00,0,2,55.0,55.0,1.0,0.0,0.0,,2,False,10,13,0,2025-10-01,48,1,2
C,2025-10-01 13:00:00,0,2,35.0,35.0,1.0,0.0,0.0,,2,False,10,13,0,2025-10-01,21,0,1
F,2025-10-01 13:00:00,0,0,0.0,0.0,0.0,0.0,0.0,,2,False,10,13,0,2025-10-01,26,1,0
D,2025-10-01 14:00:00,0,0,0.0,0.0,0.0,0.0,0.0,,2,False,10,14,0,2025-10-01,48,5,3
E,2025-10-01 14:00:00,1,4,27.5,30.0,1.0,0.0,0.0,,2,False,10,14,0,2025-10-01,53,4,4
G,2025-10-01 14:00:00,0,0,0.0,0.0,0.0,0.0,0.0,,2,False,10,14,0,2025-10-01,34,0,0
C,2025-10-01 14:00:00,0,1,35.0,35.0,1.0,0.0,0.0,,2,False,10,14,0,2025-10-01,21,2,0
A,2025-10-01 14:00:00,0,2,65.0,65.0,1.0,0.0,0.0,,2,False,10,14,0,2025-10-01,48,2,2
B,2025-10-01 14:00:00,1,3,65.0,70.0,1.0,0.0,0.0,,2,False,10,14,0,2025-10-01,47,3,5
F,2025-10-01 14:00:00,0,0,0.0,0.0,0.0,0.0,0.0,,2,False,10,14,0,2025-10-01,26,0,0
F,2025-10-01 15:00:00,0,0,0.0,0.0,0.0,0.0,0.0,,2,False,10,15,0,2025-10-01,26,0,1
C,2025-10-01 15:00:00,0,0,0.0,0.0,0.0,0.0,0.0,,2,False,10,15,0,2025-10-01,21,1,2
D,2025-10-01 15:00:00,1,3,56.666666666666664,65.0,1.0,0.0,0.0,,2,False,10,15,0,2025-10-01,48,0,6
B,2025-10-01 15:00:00,1,5,53.0,70.0,1.0,0.0,0.0,,2,False,10,15,0,2025-10-01,47,3,3
E,2025-10-01 15:00:00,1,4,27.5,30.0,1.0,0.0,0.0,,2,False,10,15,0,2025-10-01,53,4,5
A,2025-10-01 15:00:00,1,2,50.0,70.0,1.0,0.0,0.0,,2,False,10,15,0,2025-10-01,48,2,5
G,2025-10-01 15:00:00,0,0,0.0,0.0,0.0,0.0,0.0,,2,False,10,15,0,2025-10-01,34,0,0
D,2025-10-01 16:00:00,1,6,45.833333333333336,65.0,1.0,0.0,0.0,,2,False,10,16,0,2025-10-01,48,3,3
E,2025-10-01 16:00:00,1,5,28.0,30.0,1.0,0.0,0.0,,2,False,10,16,0,2025-10-01,53,4,2
B,2025-10-01 16:00:00,1,3,46.666666666666664,55.0,1.0,0.0,0.0,,2,False,10,16,0,2025-10-01,47,5,1
G,2025-10-01 16:00:00,0,0,0.0,0.0,0.0,0.0,0.0,,2,False,10,16,0,2025-10-01,34,0,4
C,2025-10-01 16:00:00,0,2,32.5,35.0,1.0,0.0,0.0,,2,False,10,16,0,2025-10-01,21,0,1
A,2025-10-01 16:00:00,1,5,37.0,55.0,1.0,0.0,0.0,,2,False,10,16,0,2025-10-01,48,2,1
F,2025-10-01 16:00:00,0,1,25.0,25.0,1.0,0.0,0.0,,2,False,10,16,0,2025-10-01,26,0,2
D,2025-10-01 17:00:00,1,3,40.0,45.0,1.0,0.0,0.0,,2,False,10,17,0,2025-10-01,48,6,6
G,2025-10-01 17:00:00,1,4,27.5,45.0,1.0,0.0,0.0,,2,False,10,17,0,2025-10-01,34,0,3
A,2025-10-01 17:00:00,0,1,55.0,55.0,1.0,0.0,0.0,,2,False,10,17,0,2025-10-01,48,5,3
F,2025-10-01 17:00:00,1,2,22.5,25.0,1.0,0.0,0.0,,2,False,10,17,0,2025-10-01,26,1,4
B,2025-10-01 17:00:00,0,1,70.0,70.0,1.0,0.0,0.0,,2,False,10,17,0,2025-10-01,47,3,3
E,2025-10-01 17:00:00,1,2,42.5,55.0,1.0,0.0,0.0,,2,False,10,17,0,2025-10-01,53,5,4
C,2025-10-01 17:00:00,0,1,25.0,25.0,1.0,0.0,0.0,,2,False,10,17,0,2025-10-01,21,2,2
F,2025-10-01 18:00:00,1,4,35.0,50.0,1.0,0.0,0.0,,2,False,10,18,0,2025-10-01,26,2,0
E,2025-10-01 18:00:00,1,4,27.5,30.0,1.0,0.0,0.0,,2,False,10,18,0,2025-10-01,53,2,4
D,2025-10-01 18:00:00,1,6,49.166666666666664,65.0,1.0,0.0,0.0,,2,False,10,18,0,2025-10-01,48,3,0
A,2025-10-01 18:00:00,0,3,55.0,65.0,1.0,0.0,0.0,,2,False,10,18,0,2025-10-01,48,1,3
B,2025-10-01 18:00:00,1,3,66.66666666666667,70.0,1.0,0.0,0.0,,2,False,10,18,0,2025-10-01,47,1,3
G,2025-10-01 18:00:00,1,3,21.666666666666668,25.0,1.0,0.0,0.0,,2,False,10,18,0,2025-10-01,34,4,2
C,2025-10-01 18:00:00,1,2,25.0,25.0,1.0,0.0,0.0,,2,False,10,18,0,2025-10-01,21,1,3
B,2025-10-01 19:00:00,0,3,50.0,60.0,1.0,0.0,0.0,,2,False,10,19,0,2025-10-01,47,3,1
C,2025-10-01 19:00:00,1,3,25.0,35.0,1.0,0.0,0.0,,2,False,10,19,0,2025-10-01,21,2,1
A,2025-10-01 19:00:00,1,3,41.666666666666664,55.0,1.0,0.0,0.0,,2,False,10,19,0,2025-10-01,48,3,3
D,2025-10-01 19:00:00,0,0,0.0,0.0,0.0,0.0,0.0,,2,False,10,19,0,2025-10-01,48,6,3
E,2025-10-01 19:00:00,1,4,25.0,25.0,1.0,0.0,0.0,,2,False,10,19,0,2025-10-01,53,4,0
G,2025-10-01 19:00:00,1,2,27.5,35.0,1.0,0.0,0.0,,2,False,10,19,0,2025-10-01,34,3,1
F,2025-10-01 19:00:00,0,0,0.0,0.0,0.0,0.0,0.0,,2,False,10,19,0,2025-10-01,26,4,0
A,2025-10-01 20:00:00,0,3,38.333333333333336,55.0,1.0,0.0,0.0,,2,False,10,20,0,2025-10-01,48,3,1
E,2025-10-01 20:00:00,0,0,0.0,0.0,0.0,0.0,0.0,,2,False,10,20,0,2025-10-01,53,4,2
G,2025-10-01 20:00:00,0,1,15.0,15.0,1.0,0.0,0.0,,2,False,10,20,0,2025-10-01,34,2,4
D,2025-10-01 20:00:00,1,3,56.666666666666664,65.0,1.0,0.0,0.0,,2,False,10,20,0,2025-10-01,48,0,2
B,2025-10-01 20:00:00,0,1,35.0,35.0,1.0,0.0,0.0,,2,False,10,20,0,2025-10-01,47,3,1
F,2025-10-01 20:00:00,0,0,0.0,0.0,0.0,0.0,0.0,,2,False,10,20,0,2025-10-01,26,0,0
C,2025-10-01 20:00:00,0,1,20.0,20.0,1.0,0.0,0.0,,2,False,10,20,0,2025-10-01,21,3,0
G,2025-10-01 21:00:00,1,4,23.75,30.0,1.0,0.0,0.0,,2,False,10,21,0,2025-10-01,34,1,1
E,2025-10-01 21:00:00,1,2,27.5,30.0,1.0,0.0,0.0,,2,False,10,21,0,2025-10-01,53,0,0
F,2025-10-01 21:00:00,0,0,0.0,0.0,0.0,0.0,0.0,,2,False,10,21,0,2025-10-01,26,0,0
D,2025-10-01 21:00:00,1,2,60.0,65.0,1.0,0.0,0.0,,2,False,10,21,0,2025-10-01,48,3,0
B,2025-10-01 21:00:00,0,1,70.0,70.0,1.0,0.0,0.0,,2,False,10,21,0,2025-10-01,47,1,0
C,2025-10-01 21:00:00,0,0,0.0,0.0,0.0,0.0,0.0,,2,False,10,21,0,2025-10-01,21,1,0
A,2025-10-01 21:00:00,0,1,65.0,65.0,1.0,0.0,0.0,,2,False,10,21,0,2025-10-01,48,3,0
A,2025-10-01 22:00:00,0,0,0.0,0.0,0.0,0.0,0.0,,2,False,10,22,0,2025-10-01,48,1,0
D,2025-10-01 22:00:00,0,0,0.0,0.0,0.0,0.0,0.0,,2,False,10,22,0,2025-10-01,48,2,0
G,2025-10-01 22:00:00,0,1,30.0,30.0,1.0,0.0,0.0,,2,False,10,22,0,2025-10-01,34,4,0
F,2025-10-01 22:00:00,0,0,0.0,0.0,0.0,0.0,0.0,,2,False,10,22,0,2025-10-01,26,0,0
E,2025-10-01 22:00:00,0,0,0.0,0.0,0.0,0.0,0.0,,2,False,10,22,0,2025-10-01,53,2,0
B,2025-10-01 22:00:00,0,0,0.0,0.0,0.0,0.0,0.0,,2,False,10,22,0,2025-10-01,47,1,0
C,2025-10-01 22:00:00,0,0,0.0,0.0,0.0,0.0,0.0,,2,False,10,22,0,2025-10-01,21,0,0
G,2025-10-01 23:00:00,0,0,0.0,0.0,0.0,0.0,0.0,,2,False,10,23,0,2025-10-01,34,1,0
D,2025-10-01 23:00:00,0,0,0.0,0.0,0.0,0.0,0.0,,2,False,10,23,0,2025-10-01,48,0,0
F,2025-10-01 23:00:00,0,0,0.0,0.0,0.0,0.0,0.0,,2,False,10,23,0,2025-10-01,26,0,0
C,2025-10-01 23:00:00,0,0,0.0,0.0,0.0,0.0,0.0,,2,False,10,23,0,2025-10-01,21,0,0
A,2025-10-01 23:00:00,0,0,0.0,0.0,0.0,0.0,0.0,,2,False,10,23,0,2025-10-01,48,0,0
B,2025-10-01 23:00:00,0,0,0.0,0.0,0.0,0.0,0.0,,2,False,10,23,0,2025-10-01,47,0,0
E,2025-10-01 23:00:00,0,0,0.0,0.0,0.0,0.0,0.0,,2,False,10,23,0,2025-10-01,53,0,0
G,2025-10-02 00:00:00,0,0,0.0,0.0,0.0,0.0,0.0,,3,False,10,0,0,2025-10-02,35,0,0
C,2025-10-02 00:00:00,0,0,0.0,0.0,0.0,0.0,0.0,,3,False,10,0,0,2025-10-02,21,0,0
E,2025-10-02 00:00:00,0,0,0.0,0.0,0.0,0.0,0.0,,3,False,10,0,0,2025-10-02,51,0,0
D,2025-10-02 00:00:00,0,0,0.0,0.0,0.0,0.0,0.0,,3,False,10,0,0,2025-10-02,50,0,0
F,2025-10-02 00:00:00,0,0,0.0,0.0,0.0,0.0,0.0,,3,False,10,0,0,2025-10-02,26,0,0
B,2025-10-02 00:00:00,0,0,0.0,0.0,0.0,0.0,0.0,,3,False,10,0,0,2025-10-02,50,0,0
A,2025-10-02 00:00:00,0,0,0.0,0.0,0.0,0.0,0.0,,3,False,10,0,0,2025-10-02,48,0,0
C,2025-10-02 01:00:00,0,0,0.0,0.0,0.0,0.0,0.0,,3,False,10,1,0,2025-10-02,21,0,0
D,2025-10-02 01:00:00,0,0,0.0,0.0,0.0,0.0,0.0,,3,False,10,1,0,2025-10-02,50,0,0
E,2025-10-02 01:00:00,0,0,0.0,0.0,0.0,0.0,0.0,,3,False,10,1,0,2025-10-02,51,0,0
F,2025-10-02 01:00:00,0,0,0.0,0.0,0.0,0.0,0.0,,3,False,10,1,0,2025-10-02,26,0,0
A,2025-10-02 01:00:00,0,0,0.0,0.0,0.0,0.0,0.0,,3,False,10,1,0,2025-10-02,48,0,0
G,2025-10-02 01:00:00,0,0,0.0,0.0,0.0,0.0,0.0,,3,False,10,1,0,2025-10-02,35,0,1
B,2025-10-02 01:00:00,0,0,0.0,0.0,0.0,0.0,0.0,,3,False,10,1,0,2025-10-02,50,0,0
F,2025-10-02 02:00:00,0,0,0.0,0.0,0.0,0.0,0.0,,3,False,10,2,0,2025-10-02,26,0,0
A,2025-10-02 02:00:00,0,0,0.0,0.0,0.0,0.0,0.0,,3,False,10,2,0,2025-10-02,48,0,2
G,2025-10-02 02:00:00,0,1,35.0,35.0,1.0,0.0,0.0,,3,False,10,2,0,2025-10-02,35,0,4
B,2025-10-02 02:00:00,0,0,0.0,0.0,0.0,0.0,0.0,,3,False,10,2,0,2025-10-02,50,0,2
C,2025-10-02 02:00:00,0,0,0.0,0.0,0.0,0.0,0.0,,3,False,10,2,0,2025-10-02,21,0,0
D,2025-10-02 02:00:00,0,0,0.0,0.0,0.0,0.0,0.0,,3,False,10,2,0,2025-10-02,50,0,0
E,2025-10-02 02:00:00,0,0,0.0,0.0,0.0,0.0,0.0,,3,False,10,2,0,2025-10-02,51,0,0
G,2025-10-02 03:00:00,1,4,26.25,35.0,1.0,0.0,0.0,,3,False,10,3,0,2025-10-02,35,1,0
B,2025-10-02 03:00:00,1,2,50.0,70.0,1.0,0.0,0.0,,3,False,10,3,0,2025-10-02,50,0,3
C,2025-10-02 03:00:00,0,0,0.0,0.0,0.0,0.0,0.0,,3,False,10,3,0,2025-10-02,21,0,5
F,2025-10-02 03:00:00,0,0,0.0,0.0,0.0,0.0,0.0,,3,False,10,3,0,2025-10-02,26,0,0
E,2025-10-02 03:00:00,0,0,0.0,0.0,0.0,0.0,0.0,,3,False,10,3,0,2025-10-02,51,0,2
D,2025-10-02 03:00:00,0,0,0.0,0.0,0.0,0.0,0.0,,3,False,10,3,0,2025-10-02,50,0,3
A,2025-10-02 03:00:00,1,2,47.5,65.0,1.0,0.0,0.0,,3,False,10,3,0,2025-10-02,48,0,6
D,2025-10-02 04:00:00,1,3,58.333333333333336,65.0,1.0,0.0,0.0,,3,False,10,4,0,2025-10-02,50,0,0
C,2025-10-02 04:00:00,1,5,24.0,30.0,1.0,0.0,0.0,,3,False,10,4,0,2025-10-02,21,0,1
E,2025-10-02 04:00:00,1,2,30.0,30.0,1.0,0.0,0.0,,3,False,10,4,0,2025-10-02,51,0,4
F,2025-10-02 04:00:00,0,0,0.0,0.0,0.0,0.0,0.0,,3,False,10,4,0,2025-10-02,26,0,4
B,2025-10-02 04:00:00,1,3,51.666666666666664,70.0,1.0,0.0,0.0,,3,False,10,4,0,2025-10-02,50,2,0
G,2025-10-02 04:00:00,0,0,0.0,0.0,0.0,0.0,0.0,,3,False,10,4,0,2025-10-02,35,4,1
A,2025-10-02 04:00:00,1,6,40.833333333333336,65.0,1.0,0.0,0.0,,3,False,10,4,0,2025-10-02,48,2,0
C,2025-10-02 05:00:00,0,1,30.0,30.0,1.0,0.0,0.0,,3,False,10,5,0,2025-10-02,21,5,1
E,2025-10-02 05:00:00,1,4,27.5,30.0,1.0,0.0,0.0,,3,False,10,5,0,2025-10-02,51,2,2
G,2025-10-02 05:00:00,0,1,35.0,35.0,1.0,0.0,0.0,,3,False,10,5,0,2025-10-02,35,0,6
A,2025-10-02 05:00:00,0,0,0.0,0.0,0.0,0.0,0.0,,3,False,10,5,0,2025-10-02,48,6,3
B,2025-10-02 05:00:00,0,0,0.0,0.0,0.0,0.0,0.0,,3,False,10,5,0,2025-10-02,50,3,2
F,2025-10-02 05:00:00,1,4,33.75,45.0,1.0,0.0,0.0,,3,False,10,5,0,2025-10-02,26,0,4
D,2025-10-02 05:00:00,0,0,0.0,0.0,0.0,0.0,0.0,,3,False,10,5,0,2025-10-02,50,3,4
G,2025-10-02 06:00:00,1,6,28.333333333333332,50.0,1.0,0.0,0.0,,3,False,10,6,0,2025-10-02,35,1,1
B,2025-10-02 06:00:00,1,2,62.5,70.0,1.0,0.0,0.0,,3,False,10,6,0,2025-10-02,50,0,6
C,2025-10-02 06:00:00,0,1,35.0,35.0,1.0,0.0,0.0,,3,False,10,6,0,2025-10-02,21,1,2
D,2025-10-02 06:00:00,1,4,52.5,65.0,1.0,0.0,0.0,,3,False,10,6,0,2025-10-02,50,0,6
F,2025-10-02 06:00:00,1,4,27.5,45.0,1.0,0.0,0.0,,3,False,10,6,0,2025-10-02,26,4,2
A,2025-10-02 06:00:00,1,3,51.666666666666664,65.0,1.0,0.0,0.0,,3,False,10,6,0,2025-10-02,48,0,6
E,2025-10-02 06:00:00,1,2,25.0,25.0,1.0,0.0,0.0,,3,False,10,6,0,2025-10-02,51,4,5
B,2025-10-02 07:00:00,1,6,57.5,70.0,1.0,0.0,0.0,,3,False,10,7,0,2025-10-02,50,2,2
E,2025-10-02 07:00:00,1,5,26.0,30.0,1.0,0.0,0.0,,3,False,10,7,0,2025-10-02,51,2,0
D,2025-10-02 07:00:00,1,6,45.833333333333336,65.0,1.0,0.0,0.0,,3,False,10,7,0,2025-10-02,50,4,0
A,2025-10-02 07:00:00,1,6,41.666666666666664,65.0,1.0,0.0,0.0,,3,False,10,7,0,2025-10-02,48,3,2
F,2025-10-02 07:00:00,1,2,22.5,25.0,1.0,0.0,0.0,,3,False,10,7,0,2025-10-02,26,4,0
C,2025-10-02 07:00:00,0,2,35.0,35.0,1.0,0.0,0.0,,3,False,10,7,0,2025-10-02,21,1,0
G,2025-10-02 07:00:00,0,1,20.0,20.0,1.0,0.0,0.0,,3,False,10,7,0,2025-10-02,35,6,0
G,2025-10-02 08:00:00,0,0,0.0,0.0,0.0,0.0,0.0,,3,False,10,8,0,2025-10-02,35,1,1
D,2025-10-02 08:00:00,0,0,0.0,0.0,0.0,0.0,0.0,,3,False,10,8,0,2025-10-02,50,6,4
E,2025-10-02 08:00:00,0,0,0.0,0.0,0.0,0.0,0.0,,3,False,10,8,0,2025-10-02,51,5,4
F,2025-10-02 08:00:00,0,0,0.0,0.0,0.0,0.0,0.0,,3,False,10,8,0,2025-10-02,26,2,0
C,2025-10-02 08:00:00,0,0,0.0,0.0,0.0,0.0,0.0,,3,False,10,8,0,2025-10-02,21,2,0
B,2025-10-02 08:00:00,0,2,52.5,70.0,1.0,0.0,0.0,,3,False,10,8,0,2025-10-02,50,6,1
A,2025-10-02 08:00:00,0,2,47.5,65.0,1.0,0.0,0.0,,3,False,10,8,0,2025-10-02,48,6,1
C,2025-10-02 09:00:00,0,0,0.0,0.0,0.0,0.0,0.0,,3,False,10,9,0,2025-10-02,21,0,0
E,2025-10-02 09:00:00,1,4,27.5,30.0,1.0,0.0,0.0,,3,False,10,9,0,2025-10-02,51,0,1
G,2025-10-02 09:00:00,0,1,15.0,15.0,1.0,0.0,0.0,,3,False,10,9,0,2025-10-02,35,0,2
D,2025-10-02 09:00:00,1,4,50.0,65.0,1.0,0.0,0.0,,3,False,10,9,0,2025-10-02,50,0,1
A,2025-10-02 09:00:00,0,1,70.0,70.0,1.0,0.0,0.0,,3,False,10,9,0,2025-10-02,48,2,3
B,2025-10-02 09:00:00,0,1,70.0,70.0,1.0,0.0,0.0,,3,False,10,9,0,2025-10-02,50,2,3
F,2025-10-02 09:00:00,0,0,0.0,0.0,0.0,0.0,0.0,,3,False,10,9,0,2025-10-02,26,0,3
